market_id,market_slug,market_question,broad_category,series_slug,start_time_utc,resolution_time_utc,volume,source_data_path,yes_token_id
2132399,gpt-5pt6-released-by-may-15-2026,"GPT-5.6 released by May 15, 2026?",tech,,2026-05-01T12:55:12.479792Z,2026-05-16 15:23:42+00,13156.503797999996,data/raw_orderbooks/gpt-5pt6-released-by-may-15-2026.parquet,89751452559317085334140568450211332296630332970182969406439075193207980071036
2247094,highest-temperature-in-london-on-may-15-2026-15c,Will the highest temperature in London be 15°C on May 15?,weather,london-daily-weather,2026-05-13T04:15:28.094575Z,2026-05-16 01:40:34+00,51078.88906000003,data/raw_orderbooks/highest-temperature-in-london-on-may-15-2026-15c.parquet,5013836397583170206118585551740767979973957181759716024625202518930320062507
2190024,xrp-above-1pt6-on-may-15,Will the price of XRP be above $1.60 on May 15?,crypto,xrp-multi-strikes-weekly,2026-05-08T16:03:26.90883Z,2026-05-15 19:39:37+00,188702.21166999984,data/raw_orderbooks/xrp-above-1pt6-on-may-15.parquet,54173161884616361691108013144510350018085207905607535334844060892897850971722
2047424,us-x-iran-diplomatic-meeting-by-may-15-2026,"US x Iran diplomatic meeting by May 15, 2026?",politics,us-x-iran-diplomatic-meeting,2026-04-21T21:31:24.577283Z,2026-05-16 06:44:51+00,4312006.6605219785,data/raw_orderbooks/us-x-iran-diplomatic-meeting-by-may-15-2026.parquet,7748228260083451588766372714845868360273795240974235274340111731197311252737
2251008,confirmed-case-of-hantavirus-in-us-by-may-31,Confirmed case of Hantavirus in US by May 31?,pop-culture,confirmed-case-of-hantavirus,2026-05-14T23:55:59.024599Z,2026-05-16 03:30:03+00,34117.34944699998,data/raw_orderbooks/confirmed-case-of-hantavirus-in-us-by-may-31.parquet,112179945510117444266745737293919844702813945834720827185916269362924783527991
2144528,bun-hei-mai-2026-05-16-hei,Will 1. FC Heidenheim 1846 win on 2026-05-16?,sports,bundesliga-2025,2026-05-03T04:52:34.306362Z,2026-05-16 18:13:03+00,1693905.2233859971,data/raw_orderbooks/bun-hei-mai-2026-05-16-hei.parquet,112248517236378947914160619495048770606688516460197752735220157173231484575913
2257231,highest-temperature-in-seoul-on-may-16-2026-26corhigher,Will the highest temperature in Seoul be 26°C or higher on May 16?,weather,seoul-daily-weather,2026-05-14T04:15:02.190167Z,2026-05-16 17:47:16+00,50901.59328099999,data/raw_orderbooks/highest-temperature-in-seoul-on-may-16-2026-26corhigher.parquet,14461826440688473107356459486740528462894316638997659882403234672548194270425
2227069,will-bitcoin-dip-to-78k-may-11-17,"Will Bitcoin dip to $78,000 May 11-17?",crypto,bitcoin-hit-price-weekly,2026-05-11T04:03:35.261317Z,2026-05-16 15:18:48+00,157333.47428000017,data/raw_orderbooks/will-bitcoin-dip-to-78k-may-11-17.parquet,88323766763527349651308966771270896055882367100513545234707143651093154591909
2166353,iran-closes-its-airspace-by-may-15-844-228,Iran closes its airspace by May 15?,politics,,2026-05-05T15:58:46.803Z,2026-05-16 07:16:55+00,3372286.635464979,data/raw_orderbooks/iran-closes-its-airspace-by-may-15-844-228.parquet,734398511271502510109381105632768662842460952946759526898706610506840926646
2144533,bun-hei-mai-2026-05-16-mai,Will 1. FSV Mainz 05 win on 2026-05-16?,sports,bundesliga-2025,2026-05-03T04:52:39.078895Z,2026-05-16 18:15:02+00,1464530.0038440009,data/raw_orderbooks/bun-hei-mai-2026-05-16-mai.parquet,53017970864118151304331495761380215513093021699856550368924790018570796656630
2257391,highest-temperature-in-shanghai-on-may-16-2026-25c,Will the highest temperature in Shanghai be 25°C on May 16?,weather,shanghai-daily-weather,2026-05-14T04:17:47.598185Z,2026-05-16 11:46:40+00,43150.551937999975,data/raw_orderbooks/highest-temperature-in-shanghai-on-may-16-2026-25c.parquet,104825976275201498240260205169411213618353016940645204071758534586673876512443
2189973,will-the-price-of-ethereum-be-between-2400-2500-on-may-15,"Will the price of Ethereum be between $2,400 and $2,500 on May 15?",crypto,ethereum-neg-risk-weekly,2026-05-08T16:05:24.454927Z,2026-05-15 19:38:19+00,151633.07946900005,data/raw_orderbooks/will-the-price-of-ethereum-be-between-2400-2500-on-may-15.parquet,7319416748838199654548767587199771120791482650859690771832943616918817763175
2097821,will-donald-trump-announce-that-the-united-states-blockade-of-the-strait-of-hormuz-has-been-lifted-by-may-15-2026-154,"Will Donald Trump announce that the United States blockade of the Strait of Hormuz has been lifted by May 15, 2026?",politics,,2026-04-27T16:01:47.435Z,2026-05-16 11:35:58+00,3299547.5799750015,data/raw_orderbooks/will-donald-trump-announce-that-the-united-states-blockade-of-the-strait-of-hormuz-has-been-lifted-by-may-15-2026-154.parquet,71599154123971648146642512150361632644451169043631790020011452535043437038160
2152413,epl-ast-liv-2026-05-17-ast,Will Aston Villa FC win on 2026-05-17?,sports,premier-league-2025,2026-05-04T04:13:01.939246Z,2026-05-15 23:52:12+00,1221501.9532059976,data/raw_orderbooks/epl-ast-liv-2026-05-17-ast.parquet,1595188389908704964590039616142867212219844488729598204584625804900479567316
2257503,highest-temperature-in-chengdu-on-may-16-2026-26c,Will the highest temperature in Chengdu be 26°C on May 16?,weather,chengdu-daily-weather,2026-05-14T04:57:59.44073Z,2026-05-16 08:59:59+00,36685.983764,data/raw_orderbooks/highest-temperature-in-chengdu-on-may-16-2026-26c.parquet,84177392213005347512555985646338183807946294898461379971157198387867405102866
2190022,xrp-above-1pt5-on-may-15,Will the price of XRP be above $1.50 on May 15?,crypto,xrp-multi-strikes-weekly,2026-05-08T16:03:23.098193Z,2026-05-15 19:39:37+00,146333.0482589998,data/raw_orderbooks/xrp-above-1pt5-on-may-15.parquet,19779370485193611190049228773630374730148833270860990035905654248163525318943
2099880,jerome-powell-out-as-fed-chair-by-may-15-2026,"Jerome Powell out as Fed Chair by May 15, 2026?",politics,,2026-04-27T20:00:51.967Z,2026-05-16 02:17:40+00,1185656.0985100018,data/raw_orderbooks/jerome-powell-out-as-fed-chair-by-may-15-2026.parquet,10858533087559015877322503753781574605640999256119825996545779361629396045488
2144442,bun-fre-lei-2026-05-16-lei,Will RB Leipzig win on 2026-05-16?,sports,bundesliga-2025,2026-05-03T04:05:20.501028Z,2026-05-16 18:26:05+00,852070.4995070015,data/raw_orderbooks/bun-fre-lei-2026-05-16-lei.parquet,51666335421177257233152076927027809256990763085770151794052016770915583162230
2257192,highest-temperature-in-paris-on-may-16-2026-14c,Will the highest temperature in Paris be 14°C on May 16?,weather,paris-daily-weather,2026-05-14T04:10:24.436562Z,2026-05-16 17:48:52+00,36194.48474,data/raw_orderbooks/highest-temperature-in-paris-on-may-16-2026-14c.parquet,7492335708980934937883194223764730887065770239816173460076807916353833368082
2189935,ethereum-above-2300-on-may-15,"Will the price of Ethereum be above $2,300 on May 15?",crypto,ethereum-multi-strikes-weekly,2026-05-08T16:04:05.200599Z,2026-05-15 19:38:05+00,78189.15137600001,data/raw_orderbooks/ethereum-above-2300-on-may-15.parquet,85166962060149260833008466691605966955416635875144397656044248527950683432648
2099881,jerome-powell-out-as-fed-chair-by-may-16-2026,"Jerome Powell out as Fed Chair by May 16, 2026?",politics,,2026-04-27T20:00:51.713Z,2026-05-16 02:10:17+00,538913.4409989992,data/raw_orderbooks/jerome-powell-out-as-fed-chair-by-may-16-2026.parquet,53899423463512170033503642144626407248124812902837319222402201671563051871900
2257757,highest-temperature-in-manila-on-may-16-2026-35c,Will the highest temperature in Manila be 35°C on May 16?,weather,manila-daily-weather,2026-05-14T04:29:27.81639Z,2026-05-16 18:21:04+00,33585.331860000006,data/raw_orderbooks/highest-temperature-in-manila-on-may-16-2026-35c.parquet,106640586455209541012230939076943111388113731354234950465289856193931188980361
2190020,xrp-above-1pt4-on-may-15,Will the price of XRP be above $1.40 on May 15?,crypto,xrp-multi-strikes-weekly,2026-05-08T16:04:50.967489Z,2026-05-15 19:42:39+00,74728.43156499995,data/raw_orderbooks/xrp-above-1pt4-on-may-15.parquet,82356571578432653418976085209547954831730285233935295298642338650126197942597
2204880,elon-musk-of-tweets-may-12-may-19-80-99,"Will Elon Musk post 80-99 tweets from May 12 to May 19, 2026?",politics,elon-tweets,2026-05-09T08:22:11.282657Z,2026-05-15 23:40:57+00,332957.7447949999,data/raw_orderbooks/elon-musk-of-tweets-may-12-may-19-80-99.parquet,114631991333932464511241129501232303520205894048161192916412360454885588757873
2152416,epl-ast-liv-2026-05-17-draw,Will Aston Villa FC vs. Liverpool FC end in a draw?,sports,premier-league-2025,2026-05-04T04:13:05.789186Z,2026-05-15 23:54:22+00,481902.6434500017,data/raw_orderbooks/epl-ast-liv-2026-05-17-draw.parquet,102731792147754191791581748962902649790876406689898149893143973330644479141435
2247102,highest-temperature-in-paris-on-may-15-2026-13c,Will the highest temperature in Paris be 13°C on May 15?,weather,paris-daily-weather,2026-05-13T04:10:45.823835Z,2026-05-16 01:15:53+00,32441.37368900002,data/raw_orderbooks/highest-temperature-in-paris-on-may-15-2026-13c.parquet,13964819367634198451298641333128317418278473845573825343781469090456058500543
2189932,will-the-price-of-bitcoin-be-between-80000-82000-on-may-15,"Will the price of Bitcoin be between $80,000 and $82,000 on May 15?",crypto,bitcoin-neg-risk-weekly,2026-05-08T16:04:36.469938Z,2026-05-15 19:39:16+00,68468.11494699986,data/raw_orderbooks/will-the-price-of-bitcoin-be-between-80000-82000-on-may-15.parquet,29493601589378787183839826688141453991675503370655381230214266489008601567590
2231502,elon-musk-of-tweets-may-14-may-16-40-64,"Will Elon Musk post 40-64 tweets from May 14 to May 16, 2026?",politics,elon-tweets-48h,2026-05-11T16:06:53.79775Z,2026-05-16 12:11:24+00,325844.7932300002,data/raw_orderbooks/elon-musk-of-tweets-may-14-may-16-40-64.parquet,66764853919824134802983537922176021070409880527087531416346571882412184864749
2144460,bun-pau-wol-2026-05-16-wol,Will VfL Wolfsburg win on 2026-05-16?,sports,bundesliga-2025,2026-05-03T04:11:14.025085Z,2026-05-16 18:30:57+00,443218.1459650006,data/raw_orderbooks/bun-pau-wol-2026-05-16-wol.parquet,114602750650009573187138086670652076316365481869101462426564364427882299968586
2247168,highest-temperature-in-nyc-on-may-15-2026-62-63f,Will the highest temperature in New York City be between 62-63°F on May 15?,weather,nyc-daily-weather,2026-05-13T04:19:54.500569Z,2026-05-15 20:44:38+00,29177.03051099998,data/raw_orderbooks/highest-temperature-in-nyc-on-may-15-2026-62-63f.parquet,43301296859867739284116608769621802896728590168767479773746973998102028750067
2190000,will-the-price-of-solana-be-between-110-120-on-may-15,Will the price of Solana be between $110 and $120 on May 15?,crypto,solana-neg-risk-weekly,2026-05-08T16:07:00.896581Z,2026-05-15 19:41:21+00,56743.2121,data/raw_orderbooks/will-the-price-of-solana-be-between-110-120-on-may-15.parquet,332215828660089573755132598401170730204553260979598761549319054809698244076
2161594,donald-trump-of-truth-social-posts-may-8-may-15-160-179,"Will Donald Trump post 160-179 Truth Social posts from May 8 to May 15, 2026?",politics,trump-truth-social,2026-05-05T04:14:58.102571Z,2026-05-15 19:44:52+00,259199.49079500008,data/raw_orderbooks/donald-trump-of-truth-social-posts-may-8-may-15-160-179.parquet,3281847799098994219672432064620167089656956723019044262282677022974108158229
2144493,bun-b04-hsv-2026-05-16-b04,Will Bayer 04 Leverkusen win on 2026-05-16?,sports,bundesliga-2025,2026-05-03T04:49:03.658206Z,2026-05-16 16:08:09+00,376455.9862159996,data/raw_orderbooks/bun-b04-hsv-2026-05-16-b04.parquet,40011128163117756609621725898616519020398667367240395133707404217725526924013
2257228,highest-temperature-in-seoul-on-may-16-2026-23c,Will the highest temperature in Seoul be 23°C on May 16?,weather,seoul-daily-weather,2026-05-14T04:14:46.13327Z,2026-05-16 02:37:26+00,28970.863206,data/raw_orderbooks/highest-temperature-in-seoul-on-may-16-2026-23c.parquet,64328061698520999007307148803112403877430728949920712570843197743602372646656
2237087,elon-musk-of-tweets-may-15-may-22-0-19,"Will Elon Musk post 0-19 tweets from May 15 to May 22, 2026?",politics,elon-tweets,2026-05-12T04:10:42.945649Z,2026-05-16 11:44:52+00,194441.0788319996,data/raw_orderbooks/elon-musk-of-tweets-may-15-may-22-0-19.parquet,42440672680740654841887749800943130778241735271707828083540396820594957774561
2144452,bun-pau-wol-2026-05-16-pau,Will FC St. Pauli 1910 win on 2026-05-16?,sports,bundesliga-2025,2026-05-03T04:11:00.928669Z,2026-05-16 16:05:56+00,309822.96897000005,data/raw_orderbooks/bun-pau-wol-2026-05-16-pau.parquet,106698320094305006560039805721082492334372994287063963810639261390164713334558
2247095,highest-temperature-in-london-on-may-15-2026-16c,Will the highest temperature in London be 16°C on May 15?,weather,london-daily-weather,2026-05-13T04:15:21.995696Z,2026-05-16 01:43:04+00,27904.537043999997,data/raw_orderbooks/highest-temperature-in-london-on-may-15-2026-16c.parquet,82695679410598840127778346025367832567458380572544780132694046031778262172714
2227248,will-ethereum-dip-to-2200-may-11-17,"Will Ethereum dip to $2,200 May 11-17?",crypto,ethereum-hit-price-weekly,2026-05-11T04:12:53.602717Z,2026-05-16 15:22:46+00,50145.57154599999,data/raw_orderbooks/will-ethereum-dip-to-2200-may-11-17.parquet,26835371129226068287375883531586256745503798602501113652315013424449951919793
2127392,sinaloa-gov-ruben-rocha-extradited-to-us-by-may-15,Sinaloa Gov. Ruben Rocha extradited to US by May 15?,politics,,2026-04-30T19:21:41.408974Z,2026-05-16 06:48:09+00,180938.9117019999,data/raw_orderbooks/sinaloa-gov-ruben-rocha-extradited-to-us-by-may-15.parquet,68305585501832489115867115633615992981102661514358960156555326966604358189879
2146898,scop-cel-hmi-2026-05-16-cel,Will Celtic FC win on 2026-05-16?,sports,scottish-premiership,2026-05-03T09:04:42.166345Z,2026-05-16 15:53:48+00,302471.1763399993,data/raw_orderbooks/scop-cel-hmi-2026-05-16-cel.parquet,69577172223140522246660428197271397515238461954714346575622897040216017953340
2257230,highest-temperature-in-seoul-on-may-16-2026-25c,Will the highest temperature in Seoul be 25°C on May 16?,weather,seoul-daily-weather,2026-05-14T04:14:53.060402Z,2026-05-16 17:48:13+00,27518.74910999999,data/raw_orderbooks/highest-temperature-in-seoul-on-may-16-2026-25c.parquet,111904280129217850471121023311290242591677026761509028959077627230995569845666
2117162,will-trump-speak-to-elon-musk-in-may,Will Trump speak to Elon Musk in May?,politics,trump-talk-monthly,2026-04-30T22:37:42.232116Z,2026-05-16 17:49:27+00,175269.86480999994,data/raw_orderbooks/will-trump-speak-to-elon-musk-in-may.parquet,76691832506642575794387986793740400477533014136480515777274843535630807688670
2162791,epl-ast-liv-2026-05-17-btts,Aston Villa FC vs. Liverpool FC: Both Teams to Score,sports,premier-league-2025,2026-05-05T05:11:34.865453Z,2026-05-15 23:54:48+00,243613.0264829999,data/raw_orderbooks/epl-ast-liv-2026-05-17-btts.parquet,107981584241784439613581784633238463032503078848018804122924477386910797936074
2247093,highest-temperature-in-london-on-may-15-2026-14c,Will the highest temperature in London be 14°C on May 15?,weather,london-daily-weather,2026-05-13T04:15:20.99987Z,2026-05-16 01:43:04+00,26732.10532099999,data/raw_orderbooks/highest-temperature-in-london-on-may-15-2026-14c.parquet,93616293707434981312713058477259271203032175836177062993005492781872849808057
2244267,will-trump-restart-project-freedom-by-may-15,Will Trump restart Project Freedom by May 15?,politics,,2026-05-13T03:30:03.084319Z,2026-05-16 09:07:01+00,128507.841887,data/raw_orderbooks/will-trump-restart-project-freedom-by-may-15.parquet,85239858893543287245823346649589697749825031520629665121630348168386424949321
2144436,bun-fre-lei-2026-05-16-fre,Will SC Freiburg win on 2026-05-16?,sports,bundesliga-2025,2026-05-03T04:05:02.629328Z,2026-05-16 18:24:06+00,237728.02841300017,data/raw_orderbooks/bun-fre-lei-2026-05-16-fre.parquet,108586262592669219829546935668299095436668427464007902693575407117254899994401
2247170,highest-temperature-in-nyc-on-may-15-2026-66-67f,Will the highest temperature in New York City be between 66-67°F on May 15?,weather,nyc-daily-weather,2026-05-13T04:20:03.589558Z,2026-05-16 06:24:47+00,26415.495767000015,data/raw_orderbooks/highest-temperature-in-nyc-on-may-15-2026-66-67f.parquet,29092430401211063646185003596683333195151408519324676429777469942778571730924
2111069,will-james-comey-leave-the-country-by-may-15,Will James Comey leave the country by May 15?,politics,,2026-04-28T23:48:40.001751Z,2026-05-16 07:00:50+00,109013.085938,data/raw_orderbooks/will-james-comey-leave-the-country-by-may-15.parquet,89124634609325737756771301925816805797127225206387578770293097410799742402784
2144468,bun-moe-hof-2026-05-16-moe,Will Borussia Mönchengladbach win on 2026-05-16?,sports,bundesliga-2025,2026-05-03T04:18:17.692425Z,2026-05-16 18:08:59+00,236566.56091,data/raw_orderbooks/bun-moe-hof-2026-05-16-moe.parquet,111348645717742790595998979290986075417614688616777323922479394950073702377169
2247169,highest-temperature-in-nyc-on-may-15-2026-64-65f,Will the highest temperature in New York City be between 64-65°F on May 15?,weather,nyc-daily-weather,2026-05-13T04:19:56.271792Z,2026-05-16 06:26:31+00,26230.007428000004,data/raw_orderbooks/highest-temperature-in-nyc-on-may-15-2026-64-65f.parquet,65042437521153646761184016056719363253949769805496297064924675594300960567626
2166768,will-reform-uk-win-the-second-most-council-seat-elections-in-the-2026-united-kingdom-local-elections,Will Reform UK win the second-most council seat elections in the 2026 United Kingdom local elections?,politics,,2026-05-05T23:48:45.511247Z,2026-05-16 01:21:01+00,92195.243439,data/raw_orderbooks/will-reform-uk-win-the-second-most-council-seat-elections-in-the-2026-united-kingdom-local-elections.parquet,10442631916845398661372382003668701288511645709210201684370539564042889586577
2223515,tur-riz-bes-2026-05-17-riz,Will Çaykur Rizespor win on 2026-05-17?,sports,tur-2025,2026-05-10T16:29:06.855863Z,2026-05-16 00:21:08+00,199183.4035419999,data/raw_orderbooks/tur-riz-bes-2026-05-17-riz.parquet,14715014287473342009593404050064482302449848924736752613282863325582883253331
2257179,highest-temperature-in-london-on-may-16-2026-12c,Will the highest temperature in London be 12°C on May 16?,weather,london-daily-weather,2026-05-14T04:08:40.18111Z,2026-05-16 11:14:56+00,24296.017112,data/raw_orderbooks/highest-temperature-in-london-on-may-16-2026-12c.parquet,107755154619947720677311135560722721825418792780376615842964298319514676110796
2161605,donald-trump-of-truth-social-posts-may-8-may-15-180-199,"Will Donald Trump post 180-199 Truth Social posts from May 8 to May 15, 2026?",politics,trump-truth-social,2026-05-05T04:15:03.939631Z,2026-05-15 20:02:12+00,87994.187045,data/raw_orderbooks/donald-trump-of-truth-social-posts-may-8-may-15-180-199.parquet,68189371912677146168543962377823034298685703178886212013589298435123707333316
2223517,tur-riz-bes-2026-05-17-bes,Will Beşiktaş JK win on 2026-05-17?,sports,tur-2025,2026-05-10T16:29:14.292017Z,2026-05-16 00:19:29+00,166942.8465790001,data/raw_orderbooks/tur-riz-bes-2026-05-17-bes.parquet,104124902552053596797740165174790327026872820166269362067015420958253120817069
2247215,highest-temperature-in-chicago-on-may-15-2026-68-69f,Will the highest temperature in Chicago be between 68-69°F on May 15?,weather,chicago-daily-weather,2026-05-13T05:00:02.836033Z,2026-05-15 21:44:24+00,24268.951406000007,data/raw_orderbooks/highest-temperature-in-chicago-on-may-15-2026-68-69f.parquet,41572627178489482975025402997598554456407454601886452589669813983553277015265
2189965,will-the-price-of-ethereum-be-between-2000-2100-on-may-15,"Will the price of Ethereum be between $2,000 and $2,100 on May 15?",crypto,ethereum-neg-risk-weekly,2026-05-08T16:05:10.550452Z,2026-05-15 19:44:16+00,28811.77167000001,data/raw_orderbooks/will-the-price-of-ethereum-be-between-2000-2100-on-may-15.parquet,108091176363508685190458087242920121403791080975838072498288712808545848104637
2190155,trump-declassifies-new-ufo-files-by-may-31,Trump declassifies new UFO files by May 31?,politics,trump-declassifies-ufo,2026-05-08T16:56:33.478119Z,2026-05-16 11:17:46+00,80786.514514,data/raw_orderbooks/trump-declassifies-new-ufo-files-by-may-31.parquet,92161229581954077656749543928218540763577719362473253470332302719553915181154
2138004,es2-cas-cad-2026-05-15-draw,Will CD Castellón vs. Cádiz CF end in a draw?,sports,la-liga-2,2026-05-02T06:04:26.347904Z,2026-05-15 23:28:56+00,165952.39425099996,data/raw_orderbooks/es2-cas-cad-2026-05-15-draw.parquet,69062883444588358042635287196104247758810182626507608653318870300123030431233
2247103,highest-temperature-in-paris-on-may-15-2026-14c,Will the highest temperature in Paris be 14°C on May 15?,weather,paris-daily-weather,2026-05-13T04:10:45.562463Z,2026-05-16 01:17:03+00,23616.89064799999,data/raw_orderbooks/highest-temperature-in-paris-on-may-15-2026-14c.parquet,64629026662599391785804814295273070437728369871369866131241929416770231194107
2189924,will-the-price-of-bitcoin-be-between-72000-74000-on-may-15,"Will the price of Bitcoin be between $72,000 and $74,000 on May 15?",crypto,bitcoin-neg-risk-weekly,2026-05-08T16:04:22.448505Z,2026-05-15 19:38:20+00,24322.728387,data/raw_orderbooks/will-the-price-of-bitcoin-be-between-72000-74000-on-may-15.parquet,22357503514370585588493668575333904569007452107526583105066234231392994896471
2126545,will-jd-vance-have-a-diplomatic-meeting-with-iran-by-may-15-2026,"Will JD Vance have a diplomatic meeting with Iran by May 15, 2026?",politics,,2026-05-01T22:19:32.494718Z,2026-05-16 11:13:46+00,55838.526814999954,data/raw_orderbooks/will-jd-vance-have-a-diplomatic-meeting-with-iran-by-may-15-2026.parquet,32527753930451019015308204597642457576442070744153992168163433306041550635593
2138012,es2-cor-alb-2026-05-15-alb,Will Albacete Balompié win on 2026-05-15?,sports,la-liga-2,2026-05-02T06:04:13.893978Z,2026-05-16 00:00:10+00,136752.3013299998,data/raw_orderbooks/es2-cor-alb-2026-05-15-alb.parquet,53919117121549633598047528541642405215691554889671767046206948108254069106308
2257227,highest-temperature-in-seoul-on-may-16-2026-22c,Will the highest temperature in Seoul be 22°C on May 16?,weather,seoul-daily-weather,2026-05-14T04:14:44.07434Z,2026-05-16 02:01:39+00,23607.148772999994,data/raw_orderbooks/highest-temperature-in-seoul-on-may-16-2026-22c.parquet,4242464629327307053763319449620367522749732224309897391306267145849228637858
2189959,will-the-price-of-ethereum-be-less-than-1800-on-may-15,"Will the price of Ethereum be less than $1,800 on May 15?",crypto,ethereum-neg-risk-weekly,2026-05-08T16:05:48.228701Z,2026-05-15 19:44:14+00,21288.24,data/raw_orderbooks/will-the-price-of-ethereum-be-less-than-1800-on-may-15.parquet,11807596634768067398716709272102956323991152396705423182728077157343502657512
2099879,will-jerome-powell-depart-as-fed-chair-by-may-15-2026,Will Jerome Powell depart as Fed Chair by May 15 2026?,politics,,2026-04-27T19:57:31.261913Z,2026-05-16 06:49:03+00,40343.026614999995,data/raw_orderbooks/will-jerome-powell-depart-as-fed-chair-by-may-15-2026.parquet,107657011757069489867464565566863279829681161132731022421773100469218167903296
2144511,bun-uni-aug-2026-05-16-aug,Will FC Augsburg win on 2026-05-16?,sports,bundesliga-2025,2026-05-03T04:29:13.488333Z,2026-05-16 18:09:10+00,127991.22000199996,data/raw_orderbooks/bun-uni-aug-2026-05-16-aug.parquet,23003483572659393571041521897673998353753916794408202163479114277825091777672
2247172,highest-temperature-in-nyc-on-may-15-2026-70-71f,Will the highest temperature in New York City be between 70-71°F on May 15?,weather,nyc-daily-weather,2026-05-13T04:20:06.653993Z,2026-05-16 06:26:29+00,22032.319899000013,data/raw_orderbooks/highest-temperature-in-nyc-on-may-15-2026-70-71f.parquet,58001664923378924168114903139410277426175996169720556057977852911410991672431
2190157,trump-declassifies-new-ufo-files-by-december-31,Trump declassifies new UFO files by December 31?,politics,trump-declassifies-ufo,2026-05-08T16:51:23.667216Z,2026-05-16 11:17:51+00,36138.15341,data/raw_orderbooks/trump-declassifies-new-ufo-files-by-december-31.parquet,111359637289520407551830248697054481499118469982443200140676368194339889096067
2142585,aus-new-syd-2026-05-16-syd,Will Sydney FC win on 2026-05-16?,sports,a-league-soccer,2026-05-02T20:35:44.300267Z,2026-05-16 17:34:12+00,126406.971749,data/raw_orderbooks/aus-new-syd-2026-05-16-syd.parquet,97802408260355115676270203375833471631470942784988747918056869134841659305226
2247097,highest-temperature-in-london-on-may-15-2026-18corhigher,Will the highest temperature in London be 18°C or higher on May 15?,weather,london-daily-weather,2026-05-13T04:15:32.916548Z,2026-05-16 01:40:35+00,21093.921681000007,data/raw_orderbooks/highest-temperature-in-london-on-may-15-2026-18corhigher.parquet,5746338203878912024222635898275281509022984579530405860224334927737740471158
