market_id,market_slug,market_question,event_category,associated_asset,benchmark_asset,resolution_time_utc,source_data_path,yes_token_id,study_group
2003554,aapl-quarterly-earnings-gaap-eps-04-30-2026-1pt94,Will Apple (AAPL) beat quarterly earnings?,,AAPL,SPY,2026-04-30T23:07:04Z,data/raw_orderbooks/aapl-quarterly-earnings-gaap-eps-04-30-2026-1pt94.parquet,110353083086600862188489861551997722626205286303962651872625469464313342992305,final_study_primary
1937991,will-monthly-inflation-increase-by-0pt6-in-april,Will monthly inflation increase by 0.6% in April?,,TLT,SPY,2026-05-12T14:56:08Z,data/raw_orderbooks/will-monthly-inflation-increase-by-0pt6-in-april.parquet,99925771513192054898522698678325524237840438710972495521883713996419775239260,final_study_reserve
2091247,will-bitcoin-reach-84k-april-27-may-3,"Will Bitcoin reach $84,000 April 27-May 3?",,BTC-USD,SPY,2026-05-04T06:24:06Z,data/raw_orderbooks/will-bitcoin-reach-84k-april-27-may-3.parquet,3890290056734887443116357734909247384578286812263202059833644773920966852448,final_study_reserve
2091330,will-ethereum-reach-2500-april-27-may-3,"Will Ethereum reach $2,500 April 27-May 3?",,ETH-USD,SPY,2026-05-04T06:26:00Z,data/raw_orderbooks/will-ethereum-reach-2500-april-27-may-3.parquet,78834785519126190529072982214793240471274017737109968765820102920067027739612,final_study_reserve
2135067,will-nvda-reach-220-by-may-4-2026,Will NVIDIA (NVDA) hit (HIGH) $220 Week of May 4 2026?,,NVDA,SPY,2026-05-08T23:50:20Z,data/raw_orderbooks/will-nvda-reach-220-by-may-4-2026.parquet,10736671809589911617758408421701293241318308491260326295252673308057644447359,final_study_reserve
1542610,will-tsla-reach-555-in-april,Will Tesla reach $555 in April?,,TSLA,SPY,2026-04-30T22:49:44Z,data/raw_orderbooks/will-tsla-reach-555-in-april.parquet,63475678014921272375006976308358620400622414998257578762463603195462318204550,final_study_reserve
2036554,fda-approves-sanofis-dupixent,FDA approves Sanofi's Dupixent?,,SNY,SPY,2026-04-23T14:54:54Z,data/raw_orderbooks/fda-approves-sanofis-dupixent.parquet,95823234161378177284416409047886716357009197216254062227325587550442088286650,final_study_reserve
2115652,fda-approves-argenxs-vyvgart,FDA approves argenx's Vyvgart?,,ARGX,SPY,2026-05-09T01:29:16Z,data/raw_orderbooks/fda-approves-argenxs-vyvgart.parquet,66007911101707302190148735167450517628970472782888009492359692471595464474238,final_study_reserve
2003531,msft-quarterly-earnings-gaap-eps-04-29-2026-4pt05,Will Microsoft (MSFT) beat quarterly earnings?,,MSFT,SPY,2026-04-29T22:16:14Z,data/raw_orderbooks/msft-quarterly-earnings-gaap-eps-04-29-2026-4pt05.parquet,52237913185074050880108385902927497591014997864674990476536295251219140022365,final_study_reserve
2003532,meta-quarterly-earnings-gaap-eps-04-29-2026-6pt62,Will Meta Platforms (META) beat quarterly earnings?,,META,SPY,2026-04-29T23:49:52Z,data/raw_orderbooks/meta-quarterly-earnings-gaap-eps-04-29-2026-6pt62.parquet,12065275340618380305907044540464051110268286097372289351084489826217285982504,final_study_reserve
2044093,amzn-quarterly-earnings-gaap-eps-04-29-2026-1pt65,Will Amazon (AMZN) beat quarterly earnings?,,AMZN,SPY,2026-04-30T00:01:56Z,data/raw_orderbooks/amzn-quarterly-earnings-gaap-eps-04-29-2026-1pt65.parquet,54338344555925965428218648464876157611160577999253552608862942394053899037262,final_study_reserve
2039908,mrna-quarterly-earnings-gaap-eps-05-01-2026-neg2pt67,Will Moderna (MRNA) beat quarterly earnings?,,MRNA,SPY,2026-05-01T13:12:08Z,data/raw_orderbooks/mrna-quarterly-earnings-gaap-eps-05-01-2026-neg2pt67.parquet,50781578954209032945476691816629460073419456124096720732595904691198221273312,final_study_reserve_additional
2072221,will-wti-reach-115-by-april-27-2026,Will WTI Crude Oil (WTI) hit (HIGH) $115 Week of April 27 2026?,,USO,SPY,2026-05-01T23:54:04Z,data/raw_orderbooks/will-wti-reach-115-by-april-27-2026.parquet,35294678035915620732525187235191557924523014921549524932935699739437993565728,final_study_reserve_additional
2135315,will-wti-dip-to-90-by-may-4-2026,Will WTI Crude Oil (WTI) hit (LOW) $90 Week of May 4 2026?,,USO,SPY,2026-05-06T13:16:36Z,data/raw_orderbooks/will-wti-dip-to-90-by-may-4-2026.parquet,70947137836003980237195254454253582320904241767385286651947512619794898948027,final_study_reserve_additional
2203271,will-wti-reach-105-by-may-11-2026,Will WTI Crude Oil (WTI) hit (HIGH) $105 Week of May 11 2026?,,USO,SPY,2026-05-16T00:47:01Z,data/raw_orderbooks/will-wti-reach-105-by-may-11-2026.parquet,87144823674454259989682978012314371067626741854596845570598879277373263823432,final_study_reserve_additional
2009163,will-nvda-reach-204-by-april-20-2026,Will NVIDIA (NVDA) hit (HIGH) $204 Week of April 20 2026?,,NVDA,SPY,2026-04-24T18:10:28Z,data/raw_orderbooks/will-nvda-reach-204-by-april-20-2026.parquet,12420261027087207288692907590888690684151347771026274593258293642729530998693,final_study_reserve_additional
2009128,will-tsla-dip-to-382-50-by-april-20-2026,"Will Tesla, Inc. (TSLA) hit (LOW) $382.50 Week of April 20 2026?",,TSLA,SPY,2026-04-23T16:51:32Z,data/raw_orderbooks/will-tsla-dip-to-382-50-by-april-20-2026.parquet,109642899828846085920267208054844798364969954155249140181780257313639210879084,final_study_reserve_additional
2036685,fda-approves-sanofis-tzield,FDA approves Sanofi's Tzield?,,SNY,SPY,2026-04-22T17:08:26Z,data/raw_orderbooks/fda-approves-sanofis-tzield.parquet,31664239167373057556552459244482529304545646016185098683486305722764842416716,final_study_reserve_additional
2036724,fda-approves-astrazenecas-truqap-capivasertib,FDA approves AstraZeneca's Truqap (capivasertib)?,,AZN,SPY,2026-05-16T05:06:18Z,data/raw_orderbooks/fda-approves-astrazenecas-truqap-capivasertib.parquet,91129593454233596737822113432026264072705867184559977052746298922597082445217,final_study_reserve_additional
2036725,fda-approves-astrazenecas-camizestrant,FDA approves AstraZeneca's Camizestrant?,,AZN,SPY,2026-05-16T07:11:38Z,data/raw_orderbooks/fda-approves-astrazenecas-camizestrant.parquet,53242812239942100887456304319877300979147274515811765080842618941498855469669,final_study_reserve_additional
1807967,will-wti-crude-oil-wti-hit-high-200-in-april,Will WTI Crude Oil (WTI) hit (HIGH) $200 in April?,,USO,SPY,2026-05-01T02:13:28Z,data/raw_orderbooks/will-wti-crude-oil-wti-hit-high-200-in-april.parquet,102819095095965439744162571161521676487329974358777036138951551179423945030463,final_study_reserve_additional
2214860,bitcoin-above-76k-on-may-16,"Will the price of Bitcoin be above $76,000 on May 16?",,BTC-USD,SPY,2026-05-16T19:47:59Z,data/raw_orderbooks/bitcoin-above-76k-on-may-16.parquet,29562907702670745479269951473189396740656920876462180472459292299932017394200,final_study_reserve_additional_2
2214725,ethereum-above-2200-on-may-16,"Will the price of Ethereum be above $2,200 on May 16?",,ETH-USD,SPY,2026-05-16T19:51:53Z,data/raw_orderbooks/ethereum-above-2200-on-may-16.parquet,86554548737727398800349593092561166273633205702482187085077624591206851774166,final_study_reserve_additional_2
2190024,xrp-above-1pt6-on-may-15,Will the price of XRP be above $1.60 on May 15?,,XRP-USD,SPY,2026-05-15T19:39:37Z,data/raw_orderbooks/xrp-above-1pt6-on-may-15.parquet,54173161884616361691108013144510350018085207905607535334844060892897850971722,final_study_reserve_additional_2
2227069,will-bitcoin-dip-to-78k-may-11-17,"Will Bitcoin dip to $78,000 May 11-17?",,BTC-USD,SPY,2026-05-16T15:18:48Z,data/raw_orderbooks/will-bitcoin-dip-to-78k-may-11-17.parquet,88323766763527349651308966771270896055882367100513545234707143651093154591909,final_study_reserve_additional_2
2189973,will-the-price-of-ethereum-be-between-2400-2500-on-may-15,"Will the price of Ethereum be between $2,400 and $2,500 on May 15?",,ETH-USD,SPY,2026-05-15T19:38:19Z,data/raw_orderbooks/will-the-price-of-ethereum-be-between-2400-2500-on-may-15.parquet,7319416748838199654548767587199771120791482650859690771832943616918817763175,final_study_reserve_additional_2
2215181,xrp-above-1pt3-on-may-16,Will the price of XRP be above $1.30 on May 16?,,XRP-USD,SPY,2026-05-16T19:50:47Z,data/raw_orderbooks/xrp-above-1pt3-on-may-16.parquet,7564531251144977113388169065247582436129666166682025520872788234727838808147,final_study_reserve_additional_2
2189935,ethereum-above-2300-on-may-15,"Will the price of Ethereum be above $2,300 on May 15?",,ETH-USD,SPY,2026-05-15T19:38:05Z,data/raw_orderbooks/ethereum-above-2300-on-may-15.parquet,85166962060149260833008466691605966955416635875144397656044248527950683432648,final_study_reserve_additional_2
2132798,will-ethereum-dip-to-2200-in-may-2026,"Will Ethereum dip to $2,200 in May?",,ETH-USD,SPY,2026-05-16T15:21:55Z,data/raw_orderbooks/will-ethereum-dip-to-2200-in-may-2026.parquet,56855127612795632226511371067529679879998059207589752390111439814826818500281,final_study_reserve_additional_2
2215035,solana-above-80-on-may-16,Will the price of Solana be above $80 on May 16?,,SOL-USD,SPY,2026-05-16T19:53:47Z,data/raw_orderbooks/solana-above-80-on-may-16.parquet,21374974482745082300140265218790429528522051084168234991204082387871642464866,final_study_reserve_additional_2
2189932,will-the-price-of-bitcoin-be-between-80000-82000-on-may-15,"Will the price of Bitcoin be between $80,000 and $82,000 on May 15?",,BTC-USD,SPY,2026-05-15T19:39:16Z,data/raw_orderbooks/will-the-price-of-bitcoin-be-between-80000-82000-on-may-15.parquet,29493601589378787183839826688141453991675503370655381230214266489008601567590,final_study_reserve_additional_2
